guard_name,name,display_name,description,roles
web,view_user,View User,View user,super_admin
web,view_any_user,View Any User,View any user,super_admin
web,create_user,Create User,Create user,super_admin
web,update_user,Update User,Update user,super_admin
web,delete_user,Delete User,Delete user,super_admin
web,delete_any_user,Delete Any User,Delete any user,super_admin
web,restore_user,Restore User,Restore user,super_admin
web,restore_any_user,Restore Any User,Restore any user,super_admin
web,force_delete_user,Force Delete User,Force delete user,super_admin
web,force_delete_any_user,Force Delete Any User,Force delete any user,super_admin
